dhsclust,urban_rural,NumOfResCS,cSectionPerClus,weightDenomCS,wNumOfCsection,cSecRate
505,urban,7,1,5.056639016,0.722377002,14.28571429
506,urban,7,4,4.440835118,2.537620068,57.14285714
507,urban,7,2,5.005021095,1.430006027,28.57142857
508,urban,2,1,1.428686023,0.714343011,50
509,urban,3,3,2.127366006,2.127366006,100
510,urban,6,2,4.313610077,1.437870026,33.33333333
511,urban,4,3,2.841228008,2.130921006,75
512,urban,4,4,3.486959934,3.486959934,100
513,urban,8,3,5.74960804,2.156103015,37.5
514,urban,2,1,0.743434012,0.371717006,50
515,urban,4,4,1.450376034,1.450376034,100
516,urban,2,2,0.618094027,0.618094027,100
517,urban,5,0,1.852815002,0,0
518,urban,5,1,1.223845035,0.244769007,20
519,urban,7,6,2.30397296,1.974833965,85.71428571
520,rural,11,6,12.30750465,6.713184357,54.54545455
521,rural,6,3,6.630977869,3.315488935,50
522,rural,3,2,2.908182085,1.938788056,66.66666667
523,rural,7,4,9.907540679,5.661451817,57.14285714
524,rural,7,4,7.897316098,4.512752056,57.14285714
525,rural,7,3,14.46759248,6.200396776,42.85714286
526,rural,6,3,6.557255745,3.278627872,50
527,rural,1,1,1.142838955,1.142838955,100
528,rural,5,0,6.281620264,0,0
529,rural,2,1,1.726245999,0.863123,50
530,rural,4,2,4.345675945,2.172837973,50
531,rural,10,0,13.88064027,0,0
533,rural,13,1,14.22199976,1.093999982,7.692307692
534,rural,11,3,11.49967563,3.136275172,27.27272727
535,rural,10,0,11.93950057,0,0
536,rural,9,0,8.940518796,0,0
537,rural,6,0,6.595518351,0,0
538,rural,5,1,5.860714912,1.172142982,20
539,rural,7,4,9.283371687,5.304783821,57.14285714
540,rural,7,2,8.246028185,2.356008053,28.57142857
541,rural,10,1,10.72510958,1.072510958,10
542,rural,7,1,8.843169689,1.263309956,14.28571429
543,rural,7,2,8.350166917,2.385761976,28.57142857
544,rural,16,1,18.70740891,1.169213057,6.25
545,rural,11,0,13.15144563,0,0
546,rural,9,4,9.973062515,4.432472229,44.44444444
547,rural,15,4,16.36033416,4.362755775,26.66666667
548,rural,5,3,5.722489953,3.433493972,60
549,rural,8,1,10.00228786,1.250285983,12.5
550,rural,8,2,7.87680006,1.969200015,25
551,rural,3,0,3.245246887,0,0
552,rural,5,0,5.890020132,0,0
553,rural,3,1,3.133136988,1.044378996,33.33333333
554,rural,10,5,11.34047985,5.670239925,50
555,rural,2,0,2.373589993,0,0
556,rural,5,0,6.065840125,0,0
557,rural,9,2,10.94112003,2.431360006,22.22222222
558,rural,2,0,2.391171932,0,0
559,rural,4,1,5.760243893,1.440060973,25
560,rural,5,0,5.636630058,0,0
561,rural,4,1,4.541555882,1.13538897,25
562,rural,6,1,7.267283678,1.211213946,16.66666667
563,rural,8,0,9.297679901,0,0
564,rural,9,4,10.01105976,4.449359894,44.44444444
565,rural,7,2,7.446039915,2.127439976,28.57142857
566,rural,16,0,18.45422363,0,0
567,rural,8,0,9.260968208,0,0
568,rural,3,2,3.560384989,2.373589993,66.66666667
569,rural,3,1,3.263685107,1.087895036,33.33333333
570,rural,7,1,4.923001945,0.703285992,14.28571429
571,rural,6,1,4.641683936,0.773613989,16.66666667
572,rural,10,5,12.12561965,6.062809825,50
573,rural,6,0,7.273457766,0,0
574,urban,4,3,1.773504019,1.330128014,75
575,rural,5,0,5.909554958,0,0
576,rural,8,5,9.80272007,6.126700044,62.5
577,rural,6,1,7.519746065,1.253291011,16.66666667
578,rural,7,2,9.025498629,2.578713894,28.57142857
579,rural,6,3,7.69988966,3.84994483,50
580,rural,4,2,4.478819847,2.239409924,50
581,urban,4,2,1.519096017,0.759548008,50
582,urban,7,2,4.367663801,1.247903943,28.57142857
583,urban,2,2,1.113595963,1.113595963,100
584,urban,3,3,1.478222966,1.478222966,100
585,urban,8,4,3.519511938,1.759755969,50
586,urban,4,1,2.215867996,0.553966999,25
