dhsclust,urban_rural,NumOfResCS,cSectionPerClus,weightDenomCS,wNumOfCsection,cSecRate
169,urban,7,4,10.51035988,6.005919933,57.14285714
170,urban,6,2,9.503562212,3.167854071,33.33333333
171,rural,12,5,24.27515888,10.11464953,41.66666667
172,rural,11,6,21.79885411,11.89028406,54.54545455
173,rural,11,1,21.98456728,1.998597026,9.090909091
174,urban,1,0,1.652253985,0,0
175,urban,7,3,10.78312898,4.62134099,42.85714286
176,urban,2,0,3.267096043,0,0
177,rural,6,2,12.67075825,4.223586082,33.33333333
178,rural,7,1,14.59959817,2.085656881,14.28571429
179,rural,8,3,16.18142319,6.068033695,37.5
180,rural,11,6,23.91177893,13.04278851,54.54545455
181,rural,6,0,11.73793173,0,0
182,rural,10,3,20.68111897,6.20433569,30
183,rural,15,5,32.77966619,10.9265554,33.33333333
184,rural,5,0,10.03623962,0,0
185,rural,8,3,16.78475189,6.29428196,37.5
186,rural,7,2,12.75216603,3.643476009,28.57142857
